WavLow(micr), WavUpp(micr), WavC(micr), BinnedNoise(ppm), Npix
5.988272676209762668e-01 6.061637100202124095e-01 6.024954888205943382e-01 2.293722742146988836e+01 1.000000000000000000e+00
6.061637100202124095e-01 6.135001524194487743e-01 6.098319312198305919e-01 1.623819482355046162e+01 2.000000000000000000e+00
6.135001524194487743e-01 6.208365948186849170e-01 6.171683736190668457e-01 1.577214755127210921e+01 2.000000000000000000e+00
6.208365948186849170e-01 6.281730372179212818e-01 6.245048160183030994e-01 2.012232264744134014e+01 1.000000000000000000e+00
6.281730372179212818e-01 6.355094796171574245e-01 6.318412584175393532e-01 1.305936283923398911e+01 2.000000000000000000e+00
6.355094796171574245e-01 6.428459220163937893e-01 6.391777008167756069e-01 1.710269068212268095e+01 1.000000000000000000e+00
6.428459220163937893e-01 6.501823644156299320e-01 6.465141432160118606e-01 1.634824122994354312e+01 1.000000000000000000e+00
6.501823644156299320e-01 6.575188068148662968e-01 6.538505856152481144e-01 1.094974158448266621e+01 2.000000000000000000e+00
6.575188068148662968e-01 6.648552492141024395e-01 6.611870280144843681e-01 1.452549196148476618e+01 1.000000000000000000e+00
6.648552492141024395e-01 6.721916916133388042e-01 6.685234704137206219e-01 1.373029404253013475e+01 1.000000000000000000e+00
6.721916916133388042e-01 6.795281340125749470e-01 6.758599128129568756e-01 1.303636052716829319e+01 1.000000000000000000e+00
6.795281340125749470e-01 6.868645764118113117e-01 6.831963552121931293e-01 1.000000000000000000e+01 2.000000000000000000e+00
6.868645764118113117e-01 6.942010188110474544e-01 6.905327976114293831e-01 1.150716337608893269e+01 1.000000000000000000e+00
6.942010188110474544e-01 7.015374612102838192e-01 6.978692400106656368e-01 1.118786129603486401e+01 1.000000000000000000e+00
7.015374612102838192e-01 7.088739036095199619e-01 7.052056824099018906e-01 1.088063710678123286e+01 1.000000000000000000e+00
7.088739036095199619e-01 7.162103460087563267e-01 7.125421248091381443e-01 1.057905625066184285e+01 1.000000000000000000e+00
7.162103460087563267e-01 7.235467884079924694e-01 7.198785672083743981e-01 1.030278849192603552e+01 1.000000000000000000e+00
7.235467884079924694e-01 7.308832308072288342e-01 7.272150096076106518e-01 1.006883485531382583e+01 1.000000000000000000e+00
7.308832308072288342e-01 7.382196732064649769e-01 7.345514520068469055e-01 1.000000000000000000e+01 1.000000000000000000e+00
