# WavLow(micr), WavUpp(micr), WavC(micr), BinnedNoise(ppm), Npix
5.975154978569092723e-01 6.074754797842794041e-01 6.024954888205943382e-01 1.108967571777413781e+02 2.000000000000000000e+00
6.074754797842794041e-01 6.174354617116495358e-01 6.124554707479644700e-01 1.068346123764201820e+02 2.000000000000000000e+00
6.174354617116495358e-01 6.273954436390196676e-01 6.224154526753346017e-01 8.161495571998291609e+01 2.000000000000000000e+00
6.273954436390196676e-01 6.373554255663897994e-01 6.323754346027047335e-01 6.188144682812070840e+01 2.000000000000000000e+00
6.373554255663897994e-01 6.473154074937599312e-01 6.423354165300748653e-01 4.947059010178558225e+01 2.000000000000000000e+00
6.473154074937599312e-01 6.572753894211300629e-01 6.522953984574449970e-01 4.407155647961237577e+01 2.000000000000000000e+00
6.572753894211300629e-01 6.672353713485001947e-01 6.622553803848151288e-01 5.938138228753438597e+01 1.000000000000000000e+00
6.672353713485001947e-01 6.771953532758703265e-01 6.722153623121852606e-01 4.151761421131216423e+01 2.000000000000000000e+00
6.771953532758703265e-01 6.871553352032404582e-01 6.821753442395553924e-01 3.291722752456478673e+01 2.000000000000000000e+00
6.871553352032404582e-01 6.971153171306105900e-01 6.921353261669255241e-01 3.534525755485455534e+01 1.000000000000000000e+00
6.971153171306105900e-01 7.070752990579807218e-01 7.020953080942956559e-01 1.941037403271211659e+01 2.000000000000000000e+00
7.070752990579807218e-01 7.170352809853508536e-01 7.120552900216657877e-01 2.412327779869462319e+01 1.000000000000000000e+00
7.170352809853508536e-01 7.269952629127209853e-01 7.220152719490359194e-01 1.473957238399035852e+01 2.000000000000000000e+00
7.269952629127209853e-01 7.369552448400911171e-01 7.319752538764060512e-01 1.731700375283757154e+01 1.000000000000000000e+00
7.369552448400911171e-01 7.469152267674612489e-01 7.419352358037761830e-01 1.594953151887902543e+01 1.000000000000000000e+00
7.469152267674612489e-01 7.568752086948313806e-01 7.518952177311463148e-01 1.042029753849716123e+01 2.000000000000000000e+00
7.568752086948313806e-01 7.668351906222015124e-01 7.618551996585164465e-01 1.408899271702882494e+01 1.000000000000000000e+00
7.668351906222015124e-01 7.767951725495716442e-01 7.718151815858865783e-01 1.376403716458221105e+01 1.000000000000000000e+00
7.767951725495716442e-01 7.867551544769417760e-01 7.817751635132567101e-01 1.267396948283896840e+01 1.000000000000000000e+00
7.867551544769417760e-01 7.967151364043119077e-01 7.917351454406268418e-01 1.153020575957118155e+01 1.000000000000000000e+00
7.967151364043119077e-01 8.066751183316820395e-01 8.016951273679969736e-01 1.047077430762819183e+01 1.000000000000000000e+00
8.066751183316820395e-01 8.166351002590521713e-01 8.116551092953671054e-01 9.735300562491614684e+00 1.000000000000000000e+00
8.166351002590521713e-01 8.265950821864223030e-01 8.216150912227372372e-01 9.234713767156819131e+00 1.000000000000000000e+00
8.265950821864223030e-01 8.365550641137924348e-01 8.315750731501073689e-01 9.308102131053789918e+00 1.000000000000000000e+00
8.365550641137924348e-01 8.465150460411625666e-01 8.415350550774775007e-01 9.582130000587596896e+00 1.000000000000000000e+00
8.465150460411625666e-01 8.564750279685326984e-01 8.514950370048476325e-01 1.006706539291980107e+01 1.000000000000000000e+00
8.564750279685326984e-01 8.664350098959028301e-01 8.614550189322177642e-01 9.605694274832607960e+00 1.000000000000000000e+00
8.664350098959028301e-01 8.763949918232729619e-01 8.714150008595878960e-01 8.833125722365259946e+00 1.000000000000000000e+00
8.763949918232729619e-01 8.863549737506430937e-01 8.813749827869580278e-01 7.928348930585047860e+00 1.000000000000000000e+00
8.863549737506430937e-01 8.963149556780132254e-01 8.913349647143281596e-01 7.042293531014603758e+00 1.000000000000000000e+00
8.963149556780132254e-01 9.112549285690684231e-01 9.012949466416982913e-01 6.349268104720857231e+00 1.000000000000000000e+00
9.112549285690684231e-01 9.261949014601236208e-01 9.212149104964385549e-01 6.073210011805080910e+00 1.000000000000000000e+00
9.261949014601236208e-01 9.361548833874937525e-01 9.311748924238086866e-01 6.049185928074249041e+00 1.000000000000000000e+00
9.361548833874937525e-01 9.461148653148638843e-01 9.411348743511788184e-01 6.034927312466601634e+00 1.000000000000000000e+00
9.461148653148638843e-01 9.610548382059190820e-01 9.510948562785489502e-01 5.814557324925013759e+00 1.000000000000000000e+00
9.610548382059190820e-01 9.759948110969742796e-01 9.710148201332892137e-01 5.440297310263026098e+00 1.000000000000000000e+00
9.759948110969742796e-01 9.909347839880295883e-01 9.809748020606593455e-01 5.109669291563644578e+00 1.000000000000000000e+00
9.909347839880295883e-01 1.005874756879084675e+00 1.000894765915399720e+00 5.000000000000000000e+00 1.000000000000000000e+00
1.005874756879084675e+00 1.015834738806454807e+00 1.010854747842769630e+00 5.000000000000000000e+00 1.000000000000000000e+00
1.015834738806454807e+00 1.030774711697510115e+00 1.020814729770139984e+00 5.000000000000000000e+00 1.000000000000000000e+00
1.030774711697510115e+00 1.050694675552250379e+00 1.040734693624880247e+00 5.000000000000000000e+00 1.000000000000000000e+00
1.050694675552250379e+00 1.065634648443305466e+00 1.060654657479620511e+00 5.000000000000000000e+00 1.000000000000000000e+00
1.065634648443305466e+00 1.080574621334360552e+00 1.070614639406990420e+00 5.000000000000000000e+00 1.000000000000000000e+00
1.080574621334360552e+00 1.095514594225415861e+00 1.090534603261730684e+00 5.000000000000000000e+00 1.000000000000000000e+00
1.095514594225415861e+00 1.110454567116471170e+00 1.100494585189101038e+00 5.000000000000000000e+00 1.000000000000000000e+00
1.110454567116471170e+00 1.130374530971211433e+00 1.120414549043841301e+00 5.000000000000000000e+00 1.000000000000000000e+00
1.130374530971211433e+00 1.145314503862266520e+00 1.140334512898581565e+00 5.000000000000000000e+00 1.000000000000000000e+00
1.145314503862266520e+00 1.160254476753321606e+00 1.150294494825951475e+00 5.000000000000000000e+00 1.000000000000000000e+00
1.160254476753321606e+00 1.180174440608061870e+00 1.170214458680691738e+00 5.000000000000000000e+00 1.000000000000000000e+00
1.180174440608061870e+00 1.200094404462802133e+00 1.190134422535432002e+00 5.000000000000000000e+00 1.000000000000000000e+00
1.200094404462802133e+00 1.220014368317542397e+00 1.210054386390172265e+00 5.000000000000000000e+00 1.000000000000000000e+00
1.220014368317542397e+00 1.239934332172282661e+00 1.229974350244912529e+00 5.000000000000000000e+00 1.000000000000000000e+00
1.239934332172282661e+00 1.254874305063337969e+00 1.249894314099652792e+00 5.000000000000000000e+00 1.000000000000000000e+00
1.254874305063337969e+00 1.269814277954393278e+00 1.259854296027023146e+00 5.000000000000000000e+00 1.000000000000000000e+00
1.269814277954393278e+00 1.289734241809133541e+00 1.279774259881763410e+00 5.000000000000000000e+00 1.000000000000000000e+00
1.289734241809133541e+00 1.309654205663873805e+00 1.299694223736503673e+00 5.000000000000000000e+00 1.000000000000000000e+00
1.309654205663873805e+00 1.329574169518614069e+00 1.319614187591243937e+00 5.000000000000000000e+00 1.000000000000000000e+00
1.329574169518614069e+00 1.349494133373354332e+00 1.339534151445984200e+00 5.000000000000000000e+00 1.000000000000000000e+00
1.349494133373354332e+00 1.369414097228094596e+00 1.359454115300724464e+00 5.000000000000000000e+00 1.000000000000000000e+00
1.369414097228094596e+00 1.389334061082834859e+00 1.379374079155464727e+00 5.000000000000000000e+00 1.000000000000000000e+00
1.389334061082834859e+00 1.409254024937575123e+00 1.399294043010204991e+00 5.000000000000000000e+00 1.000000000000000000e+00
1.409254024937575123e+00 1.429173988792315386e+00 1.419214006864945254e+00 5.000000000000000000e+00 1.000000000000000000e+00
1.429173988792315386e+00 1.449093952647055650e+00 1.439133970719685518e+00 5.000000000000000000e+00 1.000000000000000000e+00
1.449093952647055650e+00 1.469013916501795913e+00 1.459053934574425782e+00 5.000000000000000000e+00 1.000000000000000000e+00
1.469013916501795913e+00 1.488933880356536177e+00 1.478973898429166045e+00 5.000000000000000000e+00 1.000000000000000000e+00
1.488933880356536177e+00 1.508853844211276440e+00 1.498893862283906309e+00 5.000000000000000000e+00 1.000000000000000000e+00
1.508853844211276440e+00 1.528773808066016704e+00 1.518813826138646572e+00 5.000000000000000000e+00 1.000000000000000000e+00
1.528773808066016704e+00 1.548693771920756967e+00 1.538733789993386836e+00 5.000000000000000000e+00 1.000000000000000000e+00
1.548693771920756967e+00 1.573593726739182186e+00 1.558653753848127099e+00 5.000000000000000000e+00 1.000000000000000000e+00
1.573593726739182186e+00 1.598493681557607404e+00 1.588533699630237273e+00 5.000000000000000000e+00 1.000000000000000000e+00
1.598493681557607404e+00 1.618413645412347668e+00 1.608453663484977536e+00 5.000000000000000000e+00 1.000000000000000000e+00
1.618413645412347668e+00 1.638333609267087931e+00 1.628373627339717800e+00 5.000000000000000000e+00 1.000000000000000000e+00
1.638333609267087931e+00 1.658253573121828195e+00 1.648293591194458063e+00 5.000000000000000000e+00 1.000000000000000000e+00
1.658253573121828195e+00 1.678173536976568458e+00 1.668213555049198327e+00 5.000000000000000000e+00 1.000000000000000000e+00
1.678173536976568458e+00 1.698093500831308722e+00 1.688133518903938590e+00 5.000000000000000000e+00 1.000000000000000000e+00
1.698093500831308722e+00 1.718013464686048986e+00 1.708053482758678854e+00 5.000000000000000000e+00 1.000000000000000000e+00
1.718013464686048986e+00 1.737933428540789249e+00 1.727973446613419117e+00 5.000000000000000000e+00 1.000000000000000000e+00
1.737933428540789249e+00 1.757853392395529513e+00 1.747893410468159381e+00 5.000000000000000000e+00 1.000000000000000000e+00
1.757853392395529513e+00 1.777773356250269776e+00 1.767813374322899644e+00 5.000000000000000000e+00 1.000000000000000000e+00
1.777773356250269776e+00 1.797693320105010040e+00 1.787733338177639908e+00 5.000000000000000000e+00 1.000000000000000000e+00
1.797693320105010040e+00 1.817613283959750303e+00 1.807653302032380171e+00 5.000000000000000000e+00 1.000000000000000000e+00
1.817613283959750303e+00 1.837533247814490567e+00 1.827573265887120435e+00 5.000000000000000000e+00 1.000000000000000000e+00
1.837533247814490567e+00 1.857453211669230830e+00 1.847493229741860699e+00 5.000000000000000000e+00 1.000000000000000000e+00
1.857453211669230830e+00 1.872393184560286139e+00 1.867413193596600962e+00 5.000000000000000000e+00 1.000000000000000000e+00
1.872393184560286139e+00 1.887333157451341448e+00 1.877373175523971316e+00 5.000000000000000000e+00 1.000000000000000000e+00
1.887333157451341448e+00 1.907253121306081711e+00 1.897293139378711579e+00 5.000000000000000000e+00 1.000000000000000000e+00
1.907253121306081711e+00 1.927173085160821975e+00 1.917213103233451843e+00 5.000000000000000000e+00 1.000000000000000000e+00
1.927173085160821975e+00 1.947093049015562238e+00 1.937133067088192107e+00 5.000000000000000000e+00 1.000000000000000000e+00
1.947093049015562238e+00 1.967013012870302502e+00 1.957053030942932370e+00 5.000000000000000000e+00 1.000000000000000000e+00
1.967013012870302502e+00 1.986932976725042765e+00 1.976972994797672634e+00 5.000000000000000000e+00 1.000000000000000000e+00
1.986932976725042765e+00 2.006852940579783251e+00 1.996892958652412897e+00 5.000000000000000000e+00 1.000000000000000000e+00
2.006852940579783251e+00 2.026772904434523070e+00 2.016812922507153161e+00 5.000000000000000000e+00 1.000000000000000000e+00
2.026772904434523070e+00 2.041712877325578379e+00 2.036732886361893424e+00 5.000000000000000000e+00 1.000000000000000000e+00
2.041712877325578379e+00 2.056652850216633688e+00 2.046692868289263334e+00 5.000000000000000000e+00 1.000000000000000000e+00
2.056652850216633688e+00 2.076572814071373507e+00 2.066612832144003598e+00 5.000000000000000000e+00 1.000000000000000000e+00
2.076572814071373507e+00 2.096492777926114215e+00 2.086532795998743861e+00 5.000000000000000000e+00 1.000000000000000000e+00
2.096492777926114215e+00 2.116412741780854034e+00 2.106452759853484125e+00 5.000000000000000000e+00 1.000000000000000000e+00
2.116412741780854034e+00 2.136332705635594742e+00 2.126372723708224388e+00 5.000000000000000000e+00 1.000000000000000000e+00
2.136332705635594742e+00 2.151272678526649607e+00 2.146292687562964652e+00 5.000000000000000000e+00 1.000000000000000000e+00
2.151272678526649607e+00 2.166212651417705359e+00 2.156252669490335006e+00 5.000000000000000000e+00 1.000000000000000000e+00
2.166212651417705359e+00 2.186132615272445179e+00 2.176172633345075269e+00 5.000000000000000000e+00 1.000000000000000000e+00
2.186132615272445179e+00 2.206052579127185886e+00 2.196092597199815533e+00 5.000000000000000000e+00 1.000000000000000000e+00
2.206052579127185886e+00 2.220992552018240751e+00 2.216012561054555796e+00 5.000000000000000000e+00 1.000000000000000000e+00
